secCode,secName,orgId,announcementTitle,adjunctUrl
600125,铁龙物流,gssh0600125,铁龙物流中铁铁龙集装箱物流股份有限公司2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-07/1216343908.PDF
37,深南电A,gssz0000037,深南电A2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-07/1216343767.PDF
688588,凌志软件,gfbj0830866,凌志软件2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-07/1216343607.PDF
603016,新宏泰,9900024938,新宏泰2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-07/1216343574.PDF
2578,闽发铝业,9900019314,闽发铝业2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-07/1216343442.PDF
300832,新产业,9900027265,新产业2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-07/1216343373.PDF
605166,聚合顺,gfbj0870755,杭州聚合顺新材料股份有限公司2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-07/1216343329.PDF
819,岳阳兴长,gssz0000819,岳阳兴长2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-07/1216342967.PDF
586,汇源通信,gssz0000586,汇源通信2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-07/1216342913.PDF
300072,海新能科,9900011371,海新能科2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-07/1216342322.PDF
300886,华业香料,9900033179,华业香料2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-07/1216342080.PDF
2469,三维化学,9900014267,三维化学2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-07/1216341828.PDF
688553,汇宇制药,nssc1000740,四川汇宇制药股份有限公司2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-06/1216336296.PDF
688420,美腾科技,nssc1000863,天津美腾科技股份有限公司2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-06/1216336275.PDF
605133,嵘泰股份,9900039741,嵘泰股份2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-06/1216336225.PDF
